,open,close,high,low,volume,money,code,name
2020-01-02,4121.35,4152.24,4172.66,4121.35,18211677200.0,270105532027.6,000300.XSHG,沪深300
2020-01-03,4161.22,4144.96,4164.3,4131.86,14282624400.0,215216288331.3,000300.XSHG,沪深300
2020-01-06,4120.52,4129.3,4170.64,4102.38,17530995300.0,250182071293.9,000300.XSHG,沪深300
2020-01-07,4137.4,4160.23,4161.25,4135.1,13948903100.0,196389059714.7,000300.XSHG,沪深300
2020-01-08,4139.63,4112.32,4149.81,4101.98,16758585000.0,212406263857.3,000300.XSHG,沪深300
2020-01-09,4145.53,4164.37,4165.66,4143.59,13688632400.0,200150352941.6,000300.XSHG,沪深300
2020-01-10,4177.58,4163.18,4180.98,4148.48,11303171900.0,177827413709.3,000300.XSHG,沪深300
2020-01-13,4166.93,4203.99,4203.99,4148.6,11969198200.0,199795489709.1,000300.XSHG,沪深300
2020-01-14,4215.16,4189.89,4223.51,4188.08,12932078300.0,196221263395.6,000300.XSHG,沪深300
2020-01-15,4186.88,4166.73,4193.87,4150.88,10463313600.0,163081930622.4,000300.XSHG,沪深300
2020-01-16,4174.82,4149.04,4175.29,4142.18,10026764200.0,156242505812.0,000300.XSHG,沪深300
2020-01-17,4162.19,4154.85,4177.03,4141.64,9872568200.0,166591591594.3,000300.XSHG,沪深300
2020-01-20,4170.74,4185.83,4185.96,4149.49,12240914700.0,202692287441.8,000300.XSHG,沪深300
2020-01-21,4165.02,4114.31,4165.02,4113.33,13052750700.0,204586880493.9,000300.XSHG,沪深300
2020-01-22,4093.8,4131.93,4141.18,4046.49,12675876300.0,208136150791.5,000300.XSHG,沪深300
2020-01-23,4093.32,4003.9,4103.52,3972.39,16035760300.0,250409357700.7,000300.XSHG,沪深300
2020-02-03,3639.91,3688.36,3732.16,3639.91,15755964700.0,243303105385.9,000300.XSHG,沪深300
2020-02-04,3652.0,3785.64,3786.86,3652.0,21393332800.0,298165767621.4,000300.XSHG,沪深300
2020-02-05,3801.1,3828.53,3866.01,3781.61,17492552400.0,264042920865.7,000300.XSHG,沪深300
2020-02-06,3841.75,3899.78,3914.92,3806.96,17646223500.0,262820088451.9,000300.XSHG,沪深300
2020-02-07,3879.55,3899.87,3899.88,3849.71,15173175900.0,237508816255.6,000300.XSHG,沪深300
2020-02-10,3872.37,3916.01,3920.17,3861.01,14840696900.0,229625441895.6,000300.XSHG,沪深300
2020-02-11,3926.42,3952.46,3970.52,3915.71,14344167400.0,219307119361.3,000300.XSHG,沪深300
2020-02-12,3945.67,3984.43,3984.43,3940.67,12671032100.0,200776706549.8,000300.XSHG,沪深300
2020-02-13,3985.88,3959.92,3999.55,3950.14,14500184300.0,228605964793.4,000300.XSHG,沪深300
2020-02-14,3954.23,3987.73,4001.56,3954.02,14323980300.0,222895073624.8,000300.XSHG,沪深300
2020-02-17,3999.65,4077.42,4077.45,3999.65,18277896900.0,273067817277.8,000300.XSHG,沪深300
2020-02-18,4069.83,4057.51,4076.39,4027.79,16323622000.0,242552517334.4,000300.XSHG,沪深300
2020-02-19,4049.59,4051.31,4085.17,4042.85,16904644100.0,257554535729.8,000300.XSHG,沪深300
2020-02-20,4062.9,4144.66,4148.53,4055.81,21223262400.0,310835589162.3,000300.XSHG,沪深300
2020-02-21,4134.87,4149.49,4184.44,4130.17,21721360400.0,326564003558.5,000300.XSHG,沪深300
2020-02-24,4131.84,4132.84,4149.01,4097.18,21286930300.0,326387800605.7,000300.XSHG,沪深300
2020-02-25,4066.3,4123.85,4126.71,4020.91,24416783100.0,372213717029.5,000300.XSHG,沪深300
2020-02-26,4070.1,4073.02,4132.78,4061.13,26109406100.0,366022417907.4,000300.XSHG,沪深300
2020-02-27,4084.08,4084.88,4110.53,4067.44,18129098100.0,282050206371.0,000300.XSHG,沪深300
2020-02-28,3988.73,3940.05,4031.15,3928.07,23027509300.0,330358907265.5,000300.XSHG,沪深300
2020-03-02,3968.84,4069.67,4092.54,3968.84,21931355900.0,317426205457.1,000300.XSHG,沪深300
2020-03-03,4125.14,4091.36,4147.65,4067.91,21936977700.0,330802584618.9,000300.XSHG,沪深300
2020-03-04,4078.5,4115.05,4115.26,4060.73,18242473000.0,281784863844.9,000300.XSHG,沪深300
2020-03-05,4150.21,4206.73,4215.85,4127.04,23182311500.0,362838831775.5,000300.XSHG,沪深300
2020-03-06,4158.2,4138.51,4181.31,4135.39,17247571700.0,253168631958.9,000300.XSHG,沪深300
2020-03-09,4063.08,3997.13,4063.08,3995.13,20810203500.0,305428730303.8,000300.XSHG,沪深300
2020-03-10,3975.23,4082.73,4093.0,3954.75,19741640200.0,296184435851.3,000300.XSHG,沪深300
2020-03-11,4090.93,4028.43,4091.27,4028.4,16165611100.0,244990872685.9,000300.XSHG,沪深300
2020-03-12,3976.11,3950.91,3987.43,3926.27,15706045800.0,233152848759.1,000300.XSHG,沪深300
2020-03-13,3771.01,3895.31,3937.18,3765.15,18829672200.0,280213453213.7,000300.XSHG,沪深300
2020-03-16,3899.86,3727.84,3899.86,3720.51,18596826000.0,282836238271.2,000300.XSHG,沪深300
2020-03-17,3739.78,3709.68,3786.89,3618.31,16624612900.0,250824025696.9,000300.XSHG,沪深300
2020-03-18,3729.69,3636.26,3775.85,3636.26,15503754700.0,244127161535.3,000300.XSHG,沪深300
2020-03-19,3623.79,3589.09,3647.99,3503.19,18080740700.0,271827467961.6,000300.XSHG,沪深300
2020-03-20,3629.51,3653.22,3663.95,3588.78,13960300000.0,211223073323.1,000300.XSHG,沪深300
2020-03-23,3542.68,3530.31,3585.8,3523.79,13710879000.0,197669624970.1,000300.XSHG,沪深300
2020-03-24,3598.65,3625.11,3627.76,3545.45,14310302100.0,208553840688.5,000300.XSHG,沪深300
2020-03-25,3711.48,3722.52,3732.65,3685.99,15349595800.0,231561518761.2,000300.XSHG,沪深300
2020-03-26,3692.61,3698.05,3736.25,3681.27,11231066500.0,169336311861.4,000300.XSHG,沪深300
2020-03-27,3746.39,3710.06,3758.78,3709.92,12406099500.0,186103426334.7,000300.XSHG,沪深300
2020-03-30,3657.46,3674.11,3690.64,3637.59,12687667300.0,180640799409.3,000300.XSHG,沪深300
2020-03-31,3708.14,3686.16,3716.07,3676.2,11145302500.0,161595510008.2,000300.XSHG,沪深300
2020-04-01,3682.3,3675.08,3731.78,3670.97,11935262000.0,170422568804.4,000300.XSHG,沪深300
2020-04-02,3656.32,3734.53,3734.53,3652.32,11516820900.0,168893255656.6,000300.XSHG,沪深300
2020-04-03,3721.48,3713.22,3738.83,3698.98,9982508300.0,150132815028.5,000300.XSHG,沪深300
2020-04-07,3779.91,3798.02,3803.63,3772.21,14277803000.0,207642820316.9,000300.XSHG,沪深300
2020-04-08,3776.42,3780.34,3793.0,3767.29,11138951300.0,161576772320.2,000300.XSHG,沪深300
2020-04-09,3798.49,3792.81,3801.72,3785.31,10048503200.0,154595318812.8,000300.XSHG,沪深300
2020-04-10,3794.84,3769.18,3824.74,3758.96,10244495600.0,162251233800.7,000300.XSHG,沪深300
2020-04-13,3751.71,3753.26,3769.88,3740.19,7905334300.0,119874303204.6,000300.XSHG,沪深300
2020-04-14,3777.83,3825.7,3825.76,3764.98,11063758500.0,170612579792.4,000300.XSHG,沪深300
2020-04-15,3820.85,3797.36,3829.8,3793.44,10846198400.0,169700216633.0,000300.XSHG,沪深300
2020-04-16,3777.8,3802.38,3807.36,3774.56,9594796500.0,147164302056.9,000300.XSHG,沪深300
2020-04-17,3831.92,3839.49,3863.45,3821.42,13200430100.0,203595267033.5,000300.XSHG,沪深300
2020-04-20,3845.46,3853.46,3853.8,3831.55,10001311500.0,151924090116.6,000300.XSHG,沪深300
2020-04-21,3838.23,3808.05,3838.23,3780.0,10292188800.0,155077454132.0,000300.XSHG,沪深300
2020-04-22,3789.13,3839.38,3839.38,3782.21,8589946400.0,135547280790.2,000300.XSHG,沪深300
2020-04-23,3851.91,3829.75,3857.47,3826.56,9550845000.0,142122548831.8,000300.XSHG,沪深300
2020-04-24,3826.31,3796.97,3827.21,3787.07,9484413500.0,138961200282.7,000300.XSHG,沪深300
2020-04-27,3808.02,3822.77,3842.87,3793.77,9546273500.0,145301151875.0,000300.XSHG,沪深300
2020-04-28,3835.35,3849.15,3859.68,3768.2,12209347600.0,184179759240.3,000300.XSHG,沪深300
2020-04-29,3837.51,3867.03,3880.74,3833.72,9585459000.0,151282103744.2,000300.XSHG,沪深300
2020-04-30,3880.41,3912.58,3921.7,3880.41,13291712500.0,202268288802.3,000300.XSHG,沪深300
2020-05-06,3867.26,3936.25,3937.69,3865.99,13985567500.0,214935962364.4,000300.XSHG,沪深300
2020-05-07,3937.59,3924.89,3941.48,3915.9,10551464600.0,167207801840.2,000300.XSHG,沪深300
2020-05-08,3943.0,3963.62,3979.66,3935.98,11694334100.0,190299584716.9,000300.XSHG,沪深300
2020-05-11,3974.76,3960.18,3998.1,3944.5,12267380300.0,193758093899.8,000300.XSHG,沪深300
2020-05-12,3961.34,3960.24,3970.11,3930.21,9825055400.0,157465780059.9,000300.XSHG,沪深300
2020-05-13,3946.64,3968.25,3972.53,3932.57,8819066900.0,145563383275.8,000300.XSHG,沪深300
2020-05-14,3952.2,3925.22,3952.2,3924.05,8853000400.0,143499177719.8,000300.XSHG,沪深300
2020-05-15,3941.13,3912.82,3945.2,3907.4,9261838200.0,153301505149.4,000300.XSHG,沪深300
2020-05-18,3914.66,3922.91,3946.43,3898.4,11280176200.0,188528121367.6,000300.XSHG,沪深300
2020-05-19,3963.78,3956.25,3966.85,3944.07,9401529100.0,159886222402.2,000300.XSHG,沪深300
2020-05-20,3955.71,3935.22,3955.71,3923.92,10079115000.0,157102533276.1,000300.XSHG,沪深300
2020-05-21,3950.6,3913.79,3951.74,3907.58,9486103300.0,149154142257.8,000300.XSHG,沪深300
2020-05-22,3907.58,3824.06,3907.58,3818.15,10337836000.0,157286504986.3,000300.XSHG,沪深300
2020-05-25,3828.32,3829.32,3835.63,3800.18,7903332600.0,127011917716.3,000300.XSHG,沪深300
2020-05-26,3850.0,3872.77,3874.75,3844.48,7744807600.0,125445619316.8,000300.XSHG,沪深300
2020-05-27,3873.7,3845.61,3873.7,3838.42,8371183100.0,123737501164.5,000300.XSHG,沪深300
2020-05-28,3848.49,3856.63,3885.42,3818.43,9306405400.0,139108407792.3,000300.XSHG,沪深300
2020-05-29,3838.38,3867.02,3872.3,3830.42,9381383200.0,135658136028.2,000300.XSHG,沪深300
2020-06-01,3901.73,3971.34,3976.32,3901.73,13645665200.0,208436512945.1,000300.XSHG,沪深300
2020-06-02,3969.95,3983.57,3991.78,3958.98,14430306000.0,195563304256.3,000300.XSHG,沪深300
2020-06-03,4001.17,3983.65,4018.68,3982.93,13659748300.0,200882767676.9,000300.XSHG,沪深300
2020-06-04,3998.16,3982.19,3999.81,3968.57,10427773700.0,149057855837.5,000300.XSHG,沪深300
2020-06-05,3988.22,4001.25,4001.25,3967.93,10244394200.0,154311342981.8,000300.XSHG,沪深300
2020-06-08,4023.61,4021.95,4050.22,4016.1,13792581300.0,193047518687.6,000300.XSHG,沪深300
2020-06-09,4027.56,4047.03,4052.16,4016.34,11530447900.0,166533966010.0,000300.XSHG,沪深300
2020-06-10,4046.23,4039.71,4046.23,4024.42,11226572800.0,166778642366.2,000300.XSHG,沪深300
2020-06-11,4031.74,3995.88,4043.01,3979.75,12730894100.0,197079441861.1,000300.XSHG,沪深300
2020-06-12,3931.62,4003.08,4011.06,3927.25,13416664900.0,193504046742.3,000300.XSHG,沪深300
2020-06-15,3982.97,3954.99,4007.14,3954.99,13129786000.0,211125336143.8,000300.XSHG,沪深300
2020-06-16,3995.58,4014.57,4014.57,3987.86,11105153900.0,185104029158.9,000300.XSHG,沪深300
2020-06-17,4018.61,4017.59,4018.61,3992.13,10560579900.0,176977503611.2,000300.XSHG,沪深300
2020-06-18,4009.78,4044.38,4047.56,4000.9,13814876100.0,210192918146.2,000300.XSHG,沪深300
2020-06-19,4047.05,4098.71,4109.36,4043.49,15294699000.0,255549797299.6,000300.XSHG,沪深300
2020-06-22,4097.51,4102.05,4126.94,4088.78,15582946500.0,259200520725.7,000300.XSHG,沪深300
2020-06-23,4098.04,4121.79,4124.73,4080.75,12922951000.0,234806510834.5,000300.XSHG,沪深300
2020-06-24,4128.1,4138.99,4144.68,4123.36,12171246500.0,224551430008.0,000300.XSHG,沪深300
2020-06-29,4127.93,4109.72,4137.37,4092.54,13086585400.0,226522059762.9,000300.XSHG,沪深300
2020-06-30,4130.0,4163.96,4174.42,4129.78,12593352100.0,227935704488.9,000300.XSHG,沪深300
2020-07-01,4172.64,4247.78,4247.78,4163.5,16999045600.0,305711799761.9,000300.XSHG,沪深300
2020-07-02,4239.41,4335.84,4340.1,4238.12,25293936800.0,399571526695.3,000300.XSHG,沪深300
2020-07-03,4353.19,4419.6,4419.6,4348.45,29048553900.0,442335024266.1,000300.XSHG,沪深300
2020-07-06,4465.81,4670.09,4678.11,4465.81,40582102500.0,597438217715.6,000300.XSHG,沪深300
2020-07-07,4739.61,4698.13,4796.32,4688.06,40600855300.0,635254742706.0,000300.XSHG,沪深300
2020-07-08,4692.86,4774.0,4803.36,4670.65,34807484700.0,532849825964.5,000300.XSHG,沪深300
2020-07-09,4770.08,4840.77,4854.12,4757.29,35104689300.0,556718732098.9,000300.XSHG,沪深300
2020-07-10,4796.09,4753.13,4821.37,4734.47,31694965100.0,510472055095.9,000300.XSHG,沪深300
2020-07-13,4742.37,4852.96,4878.08,4741.87,32164544600.0,541105098721.0,000300.XSHG,沪深300
2020-07-14,4836.17,4806.69,4860.44,4729.93,29724198500.0,511211048184.9,000300.XSHG,沪深300
2020-07-15,4821.52,4744.47,4837.48,4723.36,27238900600.0,486748347680.4,000300.XSHG,沪深300
2020-07-16,4741.53,4516.25,4772.56,4513.65,28465713300.0,511237962884.2,000300.XSHG,沪深300
2020-07-17,4524.77,4544.7,4601.37,4485.82,20737556300.0,372973887045.7,000300.XSHG,沪深300
2020-07-20,4597.2,4680.3,4681.94,4534.23,24606891400.0,416714222275.7,000300.XSHG,沪深300
2020-07-21,4697.5,4691.04,4714.29,4661.44,20041565900.0,356069805762.6,000300.XSHG,沪深300
2020-07-22,4682.66,4714.45,4790.45,4675.35,22419921100.0,386470859914.3,000300.XSHG,沪深300
2020-07-23,4668.74,4712.44,4731.4,4607.66,23431456900.0,405175268660.9,000300.XSHG,沪深300
2020-07-24,4679.03,4505.59,4691.7,4479.39,24390520300.0,437726712279.7,000300.XSHG,沪深300
2020-07-27,4535.01,4528.45,4558.12,4482.44,17142055100.0,301893370163.2,000300.XSHG,沪深300
2020-07-28,4567.67,4568.26,4590.25,4537.68,16276849800.0,292835785345.2,000300.XSHG,沪深300
2020-07-29,4559.16,4679.01,4680.56,4548.85,18669530500.0,350432649160.5,000300.XSHG,沪深300
2020-07-30,4689.76,4656.15,4704.63,4649.77,16696756600.0,324009242692.4,000300.XSHG,沪深300
2020-07-31,4652.18,4695.05,4741.81,4621.96,18483902600.0,351119312415.0,000300.XSHG,沪深300
