,open,close,high,low,volume,money,code,name
2020-01-02,3073.93,3090.83,3107.52,3073.93,5003639200.0,94773729235.0,000016.XSHG,上证50
2020-01-03,3097.25,3078.28,3097.41,3072.11,3718549300.0,72346789170.0,000016.XSHG,上证50
2020-01-06,3062.28,3056.84,3090.84,3040.19,4770782700.0,77770388109.0,000016.XSHG,上证50
2020-01-07,3063.75,3074.02,3080.27,3061.56,3437178800.0,56886579547.0,000016.XSHG,上证50
2020-01-08,3058.36,3037.85,3058.7,3030.1,3765377300.0,59854842157.0,000016.XSHG,上证50
2020-01-09,3060.77,3067.55,3071.54,3055.99,3315051500.0,57676819312.0,000016.XSHG,上证50
2020-01-10,3079.08,3067.88,3081.96,3058.16,2854238900.0,51634929523.0,000016.XSHG,上证50
2020-01-13,3069.68,3090.13,3090.13,3054.88,2933083500.0,57052247475.0,000016.XSHG,上证50
2020-01-14,3097.72,3080.6,3108.18,3078.46,3512901700.0,56961447503.0,000016.XSHG,上证50
2020-01-15,3078.25,3058.01,3086.97,3052.7,2811608600.0,46971571732.0,000016.XSHG,上证50
2020-01-16,3067.95,3043.09,3068.2,3039.07,2831231800.0,45497746844.0,000016.XSHG,上证50
2020-01-17,3054.04,3053.17,3067.56,3042.59,2330451400.0,46224605665.0,000016.XSHG,上证50
2020-01-20,3070.67,3065.99,3072.29,3054.45,2727484900.0,55623208185.0,000016.XSHG,上证50
2020-01-21,3048.95,3012.11,3050.82,3011.18,3280129100.0,59740274199.0,000016.XSHG,上证50
2020-01-22,2996.81,3017.88,3023.9,2965.66,3315976000.0,60509150074.0,000016.XSHG,上证50
2020-01-23,2993.77,2932.49,2993.77,2910.39,4283935200.0,75506612217.0,000016.XSHG,上证50
2020-02-03,2676.01,2727.09,2755.84,2676.01,5860918400.0,96131246474.0,000016.XSHG,上证50
2020-02-04,2724.13,2794.66,2796.71,2724.13,5701636900.0,91856016286.0,000016.XSHG,上证50
2020-02-05,2803.74,2812.9,2833.21,2782.42,4418207000.0,73422004369.0,000016.XSHG,上证50
2020-02-06,2829.51,2854.89,2866.39,2809.37,4213425100.0,70417283280.0,000016.XSHG,上证50
2020-02-07,2836.8,2851.71,2851.82,2819.67,3444362800.0,59065093713.0,000016.XSHG,上证50
2020-02-10,2826.8,2850.06,2854.83,2817.77,3365493400.0,56648242800.0,000016.XSHG,上证50
2020-02-11,2858.92,2879.86,2893.07,2854.07,3602824400.0,58519424646.0,000016.XSHG,上证50
2020-02-12,2876.67,2895.59,2895.93,2870.77,3123075000.0,52126941024.0,000016.XSHG,上证50
2020-02-13,2898.4,2875.48,2906.72,2871.26,3743476400.0,57844935035.0,000016.XSHG,上证50
2020-02-14,2870.71,2895.06,2900.2,2870.63,3512599600.0,53270508174.0,000016.XSHG,上证50
2020-02-17,2901.69,2950.07,2950.28,2898.59,4529653200.0,72567316620.0,000016.XSHG,上证50
2020-02-18,2940.65,2924.4,2944.43,2914.96,3809899100.0,60875096296.0,000016.XSHG,上证50
2020-02-19,2917.12,2923.76,2942.35,2914.59,4027025200.0,62808193987.0,000016.XSHG,上证50
2020-02-20,2931.37,2978.18,2981.27,2920.8,5022984700.0,84693541389.0,000016.XSHG,上证50
2020-02-21,2965.6,2968.14,2991.06,2959.51,4692015200.0,83241627529.0,000016.XSHG,上证50
2020-02-24,2949.98,2930.03,2953.29,2922.16,4863757300.0,84187873408.0,000016.XSHG,上证50
2020-02-25,2891.98,2909.32,2912.16,2869.64,5315794800.0,88652948311.0,000016.XSHG,上证50
2020-02-26,2877.46,2901.67,2930.02,2872.83,6296502900.0,93491144919.0,000016.XSHG,上证50
2020-02-27,2904.87,2912.04,2927.2,2903.75,4215225000.0,70016400801.0,000016.XSHG,上证50
2020-02-28,2860.28,2821.04,2880.79,2818.43,5847996500.0,90536233069.0,000016.XSHG,上证50
2020-03-02,2837.77,2907.89,2922.95,2837.77,5488477600.0,85151778053.0,000016.XSHG,上证50
2020-03-03,2941.68,2921.44,2948.55,2910.76,5316139800.0,84017213961.0,000016.XSHG,上证50
2020-03-04,2921.07,2947.57,2949.57,2919.37,4256954900.0,75555571895.0,000016.XSHG,上证50
2020-03-05,2966.69,3018.07,3023.12,2956.65,6049796600.0,105885810782.0,000016.XSHG,上证50
2020-03-06,2989.76,2964.83,2999.49,2962.4,4185528800.0,69696068361.0,000016.XSHG,上证50
2020-03-09,2908.63,2868.83,2908.63,2864.49,5886474700.0,89883304685.0,000016.XSHG,上证50
2020-03-10,2859.87,2924.22,2935.09,2852.93,4805053000.0,76922299779.0,000016.XSHG,上证50
2020-03-11,2927.83,2888.36,2927.83,2888.36,3644206200.0,58821559035.0,000016.XSHG,上证50
2020-03-12,2858.51,2841.98,2866.14,2828.29,3702363200.0,60744920235.0,000016.XSHG,上证50
2020-03-13,2720.61,2798.77,2826.72,2715.14,4906135500.0,82814500305.0,000016.XSHG,上证50
2020-03-16,2800.0,2694.02,2800.18,2689.9,4697120600.0,76460306996.0,000016.XSHG,上证50
2020-03-17,2696.7,2685.59,2734.8,2629.18,4153269400.0,70083880488.0,000016.XSHG,上证50
2020-03-18,2695.42,2625.75,2724.3,2625.6,3768139200.0,66187348823.0,000016.XSHG,上证50
2020-03-19,2611.75,2569.79,2630.05,2517.3,4952352800.0,83641800955.0,000016.XSHG,上证50
2020-03-20,2597.98,2628.42,2636.14,2580.36,3723143600.0,61882459787.0,000016.XSHG,上证50
2020-03-23,2548.85,2559.62,2586.11,2548.0,3254972100.0,56761578580.0,000016.XSHG,上证50
2020-03-24,2608.24,2639.38,2641.87,2592.61,3686841400.0,62053255970.0,000016.XSHG,上证50
2020-03-25,2700.1,2700.19,2711.12,2681.09,3849119400.0,66439253951.0,000016.XSHG,上证50
2020-03-26,2676.62,2689.28,2716.34,2673.44,2822602100.0,47526067796.0,000016.XSHG,上证50
2020-03-27,2722.47,2701.44,2733.52,2701.44,3538694500.0,56316143419.0,000016.XSHG,上证50
2020-03-30,2667.12,2690.04,2696.33,2664.72,3404970700.0,52410857487.0,000016.XSHG,上证50
2020-03-31,2713.5,2689.38,2716.02,2684.21,3029903800.0,46061513613.0,000016.XSHG,上证50
2020-04-01,2684.5,2682.08,2722.32,2680.08,2751937300.0,44240194623.0,000016.XSHG,上证50
2020-04-02,2667.94,2719.89,2719.89,2665.81,2873089300.0,43855142486.0,000016.XSHG,上证50
2020-04-03,2707.82,2708.82,2720.84,2697.83,2444455900.0,39428104565.0,000016.XSHG,上证50
2020-04-07,2756.27,2757.41,2762.31,2743.16,3595465100.0,59656453010.0,000016.XSHG,上证50
2020-04-08,2742.36,2743.89,2753.49,2736.09,2540167600.0,38559903637.0,000016.XSHG,上证50
