,open,close,high,low,volume,money,code,name
2020-01-02,5306.67,5366.14,5374.91,5288.17,14589440500.0,136813752305.0,000905.XSHG,中证500
2020-01-03,5376.03,5380.64,5395.26,5351.8,12845202100.0,122199725543.2,000905.XSHG,中证500
2020-01-06,5365.22,5434.85,5481.55,5355.02,15958741400.0,158190935628.3,000905.XSHG,中证500
2020-01-07,5441.9,5499.84,5499.84,5440.69,14414272200.0,142194161767.8,000905.XSHG,中证500
2020-01-08,5481.98,5423.8,5500.16,5409.57,15540684700.0,149838069326.0,000905.XSHG,中证500
2020-01-09,5465.86,5497.54,5497.54,5457.35,13243166700.0,135961014647.3,000905.XSHG,中证500
2020-01-10,5511.67,5480.23,5516.09,5455.25,11381982100.0,118196969042.4,000905.XSHG,中证500
2020-01-13,5478.32,5559.63,5559.63,5447.73,11807618100.0,128651948006.7,000905.XSHG,中证500
2020-01-14,5576.63,5542.33,5583.72,5539.9,12981138300.0,134845327468.6,000905.XSHG,中证500
2020-01-15,5532.96,5530.03,5545.1,5492.65,11242502000.0,118142835148.1,000905.XSHG,中证500
2020-01-16,5539.42,5527.67,5559.02,5514.69,11189727600.0,122337955367.5,000905.XSHG,中证500
2020-01-17,5539.72,5510.05,5555.41,5499.47,10494932900.0,110491857886.6,000905.XSHG,中证500
2020-01-20,5523.01,5587.54,5587.54,5500.59,11540300100.0,128212120829.0,000905.XSHG,中证500
2020-01-21,5581.01,5523.94,5581.98,5515.19,12460480800.0,135220987296.1,000905.XSHG,中证500
2020-01-22,5502.59,5575.51,5597.99,5440.2,12347477000.0,138250254243.4,000905.XSHG,中证500
2020-01-23,5521.79,5377.74,5558.43,5326.93,14577307100.0,161861917529.5,000905.XSHG,中证500
2020-02-03,4896.89,4910.9,4960.75,4896.89,8177708400.0,89455038460.2,000905.XSHG,中证500
2020-02-04,4736.12,4996.47,5013.77,4736.12,18967227900.0,175374996025.5,000905.XSHG,中证500
2020-02-05,5035.41,5123.96,5178.44,5026.41,17109533900.0,177352350637.2,000905.XSHG,中证500
2020-02-06,5128.19,5282.89,5299.18,5100.48,18595745600.0,197274056315.6,000905.XSHG,中证500
2020-02-07,5287.27,5327.04,5329.36,5226.7,19114764200.0,203495543097.8,000905.XSHG,中证500
2020-02-10,5322.01,5388.43,5389.04,5301.41,17670328200.0,186767921839.1,000905.XSHG,中证500
2020-02-11,5390.53,5361.28,5396.96,5323.76,15250817700.0,157302894199.0,000905.XSHG,中证500
2020-02-12,5345.52,5459.95,5461.67,5340.49,15104147300.0,164552224783.9,000905.XSHG,中证500
2020-02-13,5456.66,5412.84,5482.8,5397.23,15820264200.0,175679828632.4,000905.XSHG,中证500
2020-02-14,5407.47,5420.8,5474.47,5375.93,14534649600.0,162742004601.2,000905.XSHG,中证500
2020-02-17,5454.46,5594.44,5594.44,5454.46,17463665700.0,183878721181.5,000905.XSHG,中证500
2020-02-18,5607.84,5660.81,5660.81,5577.9,18509870100.0,206428524429.9,000905.XSHG,中证500
2020-02-19,5654.18,5603.26,5678.82,5601.39,18564208500.0,210591418572.0,000905.XSHG,中证500
2020-02-20,5619.52,5706.71,5712.18,5580.07,19207602600.0,205564978649.7,000905.XSHG,中证500
2020-02-21,5704.84,5784.03,5822.4,5700.95,20723623900.0,230175046237.0,000905.XSHG,中证500
2020-02-24,5784.58,5865.47,5884.14,5754.68,21809896200.0,250154433482.9,000905.XSHG,中证500
2020-02-25,5745.62,5897.72,5912.27,5643.88,26736667800.0,301960915841.1,000905.XSHG,中证500
